Time,F_Scale,Location,County,State,Lat,Lon,Comments
1925,UNK,3 NNW Raytown,Jackson,MO,39.05,-94.49,Confirmed tornado via radar and video footage. (EAX)
1937,UNK,2 E Independence,Jackson,MO,39.09,-94.37,Storm survey team has noted damage consistent with a tornado. More information to come. (EAX)
2204,UNK,4 SE Newcastle,McClain,OK,35.21,-97.55,TDS observed from KTLX. (OUN)
2258,UNK,4 ENE New Boston,Lee,IA,40.59,-91.44,A brief EF0 tornado with maximum winds of 80 mph touched down southwest of Ft Madison Iowa. This damaged an irrigator... a garage... and trees. (DVN)
2310,UNK,5 NW Archer City,Archer,TX,33.64,-98.69,Brief touchdown via photo evidence. Time estimated. (OUN)
2338,UNK,New Boston,Mercer,IL,41.17,-91,This EF1 tornado developed over New Boston and persisted for a short time after departing town to the northeast. Concentrated damage in town included a roof blown off a (DVN)
2346,UNK,1 S Monmouth,Warren,IL,40.89,-90.64,An EF1 tornado with maximum wind speeds of 100 mph touched down on the south side of Monmouth... and move northeast through town... damaging trees... sheds... and a gar (DVN)
2357,UNK,2 S Edgington,Rock Island,IL,41.35,-90.77,This EF1 tornado developed southwest of Taylor Ridge and crossed Illinois 192... doing heavy damage to three large empty grain bins and destroying an outbuilding. Damag (DVN)
2359,UNK,2 E Hamlet,Mercer,IL,41.31,-90.7,This EF1 tornado tracked through Reynolds producing damage to mainly trees. (DVN)
0010,UNK,1 SW Coyne Center,Rock Island,IL,41.39,-90.59,This longer lived EF1 tornado tracked from southwest of Coyne Center into the southern Quad Cities metro area ending near the Avenue of the Cities in Moline. This torna (DVN)
Time,Speed,Location,County,State,Lat,Lon,Comments
1651,59,2 E Elizabeth,Jo Daviess,IL,42.32,-90.18,PWS measured gust of 59.4 mph. (DVN)
1757,UNK,Rockford,Winnebago,IL,42.27,-89.09,Report of multiple downed wires around Rockford. Relayed via broadcast media... time estimated by radar. (LOT)
1827,UNK,1 SW Harvard,McHenry,IL,42.41,-88.63,Photos shared by social media show that the walls of a a 45 foot by 45 foot 1-story cinder block structure collapsed. Time estimated by radar. (LOT)
1828,UNK,3 NE Sharon,Walworth,WI,42.54,-88.69,Trees and limbs down in southwest Walworth County. Time estimated from radar. (MKX)
1829,65,2 S Harvard,McHenry,IL,42.39,-88.62,Trained spotter reported 65 mph gust south of Harvard. Relayed via social media. (LOT)
1830,UNK,5 S Marengo,McHenry,IL,42.18,-88.61,Power lines damaged along Harmony Road south of Marengo. Relayed via broadcast media... time estimated by radar. (LOT)
1830,61,5 ENE Herbert,McHenry,IL,42.18,-88.7,ILDOT station southwest of Marengo reported 61 mph gust. (LOT)
1838,UNK,Woodstock,McHenry,IL,42.31,-88.44,Broadcast media relayed a 6 to 8 inch diameter tree branch was downed on power lines near the intersection of Jackson and Douglas streets in Woodstock. Time estimated b (LOT)
1840,UNK,Wellsville,Franklin,KS,38.72,-95.08,Power pole down. (TOP)
1842,UNK,3 SW Edgerton,Miami,KS,38.74,-95.06,Downed trees and wires east of Wellsville. Time estimated from radar. (EAX)
1845,UNK,5 WSW Leavenworth,Leavenworth,KS,39.27,-95.01,Downed tree at intersection of High Prairie Road and 187th Street. Time estimated from radar. (EAX)
1849,UNK,Pell Lake,Walworth,WI,42.54,-88.36,Large tree branch down on Clover Rd in Bloomfield... WI. Time estimated based on radar. (MKX)
